,Company,Address,SIC2,Latitude,Longitude,NeighborSIC52,NeighborSIC53,NeighborSIC54,NeighborSIC55,NeighborSIC56,NeighborSIC57,NeighborSIC58,NeighborSIC59,NeighborSIC60,NeighborSIC61,NeighborSIC62,NeighborSIC63,NeighborSIC64,NeighborSIC65,NeighborSIC66,NeighborSIC67,NeighborSIC68,NeighborSIC69,NeighborSIC70,NeighborSIC71,NeighborSIC72,NeighborSIC73,NeighborSIC74,NeighborSIC75,NeighborSIC76,NeighborSIC77,NeighborSIC78,NeighborSIC79,NeighborSIC80,NeighborSIC81,NeighborSIC82,NeighborSIC83,NeighborSIC84
3051,CERESE PIZZA,351 S ATLANTIC BLVD,58,34.0308,118.1543,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,
3071,ICE LINK,666 N KILKEA DR,58,34.073,118.3719,3.0,2.0,12.0,6.0,40.0,55.0,54.0,84.0,3.0,3.0,9.0,,9.0,50.0,,20.0,,,4.0,,76.0,247.0,,8.0,30.0,,67.0,25.0,55.0,23.0,9.0,13.0,3.0
3077,NUEVA GUADALUPE RESTAURANT,5305 N FIGUEROA ST,58,34.1071,118.198,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,OCHA CLASSIC 2,3960 BEVERLY BLVD,58,34.0761,118.2948,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
3131,OXY CAFE,4862 EAGLE ROCK BLVD,58,34.1341,118.2153,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
3146,PASHA MIDDLE EASTERN REST,3575 CAHUENGA BLVD W,58,34.1339,118.3582,,,1.0,1.0,5.0,1.0,8.0,3.0,,8.0,2.0,,4.0,6.0,,3.0,,,,,5.0,40.0,,1.0,1.0,,37.0,12.0,6.0,10.0,1.0,,
3150,PATRAS CHRBROILED BURGERS NO 3,508 E WASHINGTON BLVD,58,34.0287,118.2601,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
3155,PATTAYA BAY INC,1727 N VERMONT AVE,58,34.1023,118.2919,,,,,2.0,,4.0,6.0,,1.0,,,3.0,,,,,,,,3.0,3.0,,,1.0,,,1.0,6.0,,1.0,1.0,
3160,PEAZN AND LOVE,6333 W 3RD ST,58,34.0714,118.3598,,1.0,21.0,1.0,13.0,4.0,38.0,47.0,,,,,,,,2.0,,,,,3.0,5.0,,,3.0,,,,3.0,,,1.0,1.0
3174,PIG BAR B QUE RESTAURANT,612 N LA BREA AVE,58,34.082,118.3438,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,
3188,PINK TACO,10250 SANTA MONICA BLVD,58,34.06,118.4197,1.0,6.0,16.0,1.0,151.0,13.0,55.0,129.0,1.0,1.0,1.0,,1.0,4.0,,,,,,,23.0,18.0,,3.0,5.0,,2.0,3.0,4.0,,2.0,,3.0
3237,PUPUSERIA SAN SEBASTIAN,2705 W PICO BLVD,58,34.0473,118.2974,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,QUE RICO MANAGEMENT INC,712 N VERMONT AVE,58,34.0838,118.2916,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,ASIAN YA SOY BOY,11660 GATEWAY BLVD,58,34.029,118.4428,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
3312,RIPS RIBS AND THINGS,8923 S SAN PEDRO ST,58,33.9552,118.2696,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,SABDARI GOM TANG,3470 W 6TH ST,58,34.0634,118.2972,,,5.0,1.0,1.0,2.0,14.0,3.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,3.0,,,,,
