Geo ID,Geographic Area Name, Total population,Median age,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over
8600000US92374,92374,43391,34.6,2566,2575,3564,3733,3446,3147,3340,2219,2961,2155,2317,2816,1886,1343,857,628,860,6.9,5.9,5.9,8.2,8.6,7.9,7.3,7.7,5.1,6.8,5,5.3,6.5,4.3,3.1,2,1.4,2
8600000US92376,92376,86085,30,6834,7044,7176,7925,7650,6001,6236,5137,5137,4550,4229,3755,3073,1912,1363,921,743,7.4,7.9,8.2,8.3,9.2,8.9,7,7.2,6,6,5.3,4.9,4.4,3.6,2.2,1.6,1.1,0.9
8600000US92377,92377,20476,33.8,1353,1292,1430,1721,1767,1538,1305,858,1176,1555,1500,1121,914,700,300,293,248,6.9,6.6,6.3,7,8.4,8.6,7.5,6.4,4.2,5.7,7.6,7.3,5.5,4.5,3.4,1.5,1.4,1.2
8600000US92378,92378,234,50.5,0,14,38,0,0,0,26,14,15,59,28,0,28,0,12,0,0,0,0,6,16.2,0,0,0,11.1,6,6.4,25.2,12,0,12,0,5.1,0,0
8600000US92382,92382,4462,39.7,307,391,167,78,249,282,364,218,391,226,271,208,333,253,203,54,60,9.1,6.9,8.8,3.7,1.7,5.6,6.3,8.2,4.9,8.8,5.1,6.1,4.7,7.5,5.7,4.5,1.2,1.3
8600000US92384,92384,17,39.8,0,0,0,0,0,4,6,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23.5,35.3,0,23.5,0,0,0,17.6,0,0,0,0
8600000US92385,92385,216,61.4,12,0,0,0,25,0,7,0,22,7,16,30,35,21,11,0,16,6.5,5.6,0,0,0,11.6,0,3.2,0,10.2,3.2,7.4,13.9,16.2,9.7,5.1,0,7.4
8600000US92386,92386,2248,45.1,150,90,99,70,117,170,189,75,105,117,207,227,204,130,77,0,62,7.1,6.7,4,4.4,3.1,5.2,7.6,8.4,3.3,4.7,5.2,9.2,10.1,9.1,5.8,3.4,0,2.8
8600000US92389,92389,168,67,0,12,7,2,0,5,0,10,4,7,7,19,22,7,17,49,0,0,0,7.1,4.2,1.2,0,3,0,6,2.4,4.2,4.2,11.3,13.1,4.2,10.1,29.2,0
8600000US92391,92391,1959,44.1,82,164,140,103,117,138,113,111,167,149,120,118,68,194,0,57,71,2.4,4.2,8.4,7.1,5.3,6,7,5.8,5.7,8.5,7.6,6.1,6,3.5,9.9,0,2.9,3.6
