Geo ID,Geographic Area Name,Median gross rent
8600000US93526,93526,890
8600000US93527,93527,1066
8600000US93528,93528,-
8600000US93529,93529,-
8600000US93530,93530,-
8600000US93531,93531,-
8600000US93532,93532,1344
8600000US93534,93534,1115
8600000US93535,93535,1153
8600000US93536,93536,1371
8600000US93541,93541,-
8600000US93543,93543,1273
8600000US93544,93544,-
8600000US93545,93545,919
8600000US93546,93546,1244
8600000US93549,93549,-
8600000US93550,93550,1143
8600000US93551,93551,1712
8600000US93552,93552,1679
8600000US93553,93553,1325
8600000US93554,93554,-
8600000US93555,93555,893
8600000US93558,93558,-
8600000US93560,93560,949
8600000US93561,93561,1052
8600000US93562,93562,621
8600000US93563,93563,-
8600000US93591,93591,1185
8600000US93592,93592,-
8600000US93601,93601,779
8600000US93602,93602,798
8600000US93603,93603,-
8600000US93604,93604,-
8600000US93605,93605,956
8600000US93606,93606,914
8600000US93608,93608,789
8600000US93609,93609,948
8600000US93610,93610,904
8600000US93611,93611,1675
8600000US93612,93612,1046
8600000US93614,93614,1429
8600000US93615,93615,974
8600000US93616,93616,715
8600000US93618,93618,917
8600000US93619,93619,1958
8600000US93620,93620,939
8600000US93621,93621,-
8600000US93622,93622,664
8600000US93623,93623,-
8600000US93624,93624,593
8600000US93625,93625,946
8600000US93626,93626,1496
8600000US93627,93627,-
8600000US93628,93628,-
8600000US93630,93630,965
8600000US93631,93631,1014
8600000US93633,93633,-
8600000US93634,93634,-
8600000US93635,93635,1252
8600000US93636,93636,1243
8600000US93637,93637,1077
8600000US93638,93638,968
8600000US93640,93640,787
8600000US93641,93641,-
8600000US93643,93643,866
8600000US93644,93644,997
8600000US93645,93645,-
8600000US93646,93646,772
8600000US93647,93647,869
8600000US93648,93648,851
8600000US93650,93650,945
8600000US93651,93651,1347
8600000US93652,93652,775
8600000US93653,93653,1354
8600000US93654,93654,980
8600000US93656,93656,905
8600000US93657,93657,958
8600000US93660,93660,690
8600000US93662,93662,960
8600000US93664,93664,970
8600000US93665,93665,-
8600000US93666,93666,787
8600000US93667,93667,1238
8600000US93668,93668,1044
8600000US93669,93669,-
8600000US93673,93673,803
8600000US93675,93675,969
8600000US93701,93701,678
8600000US93702,93702,822
8600000US93703,93703,926
8600000US93704,93704,1043
8600000US93705,93705,936
8600000US93706,93706,847
8600000US93710,93710,1008
8600000US93711,93711,1192
8600000US93720,93720,1516
8600000US93721,93721,800
8600000US93722,93722,1185
8600000US93723,93723,1212
8600000US93725,93725,987
8600000US93726,93726,942
8600000US93727,93727,960
8600000US93728,93728,882
8600000US93730,93730,1933
8600000US93901,93901,1350
8600000US93905,93905,1234
8600000US93906,93906,1592
8600000US93907,93907,1584
8600000US93908,93908,2547
8600000US93920,93920,731
8600000US93921,93921,2206
8600000US93923,93923,1886
8600000US93924,93924,1679
8600000US93925,93925,932
8600000US93926,93926,1194
8600000US93927,93927,1364
8600000US93928,93928,-
8600000US93930,93930,1138
8600000US93932,93932,1027
8600000US93933,93933,1392
8600000US93940,93940,1821
8600000US93943,93943,-
8600000US93950,93950,1758
8600000US93953,93953,2914
8600000US93954,93954,967
8600000US93955,93955,1781
8600000US93960,93960,1195
8600000US93962,93962,-
8600000US94002,94002,2342
8600000US94005,94005,1919
8600000US94010,94010,2220
8600000US94014,94014,1897
8600000US94015,94015,2310
8600000US94019,94019,1888
8600000US94020,94020,1566
8600000US94021,94021,-
8600000US94022,94022,3172
8600000US94024,94024,3099
8600000US94025,94025,2346
8600000US94027,94027,"3,500+"
8600000US94028,94028,2914
8600000US94030,94030,2508
8600000US94037,94037,1708
8600000US94038,94038,1862
8600000US94040,94040,2455
8600000US94041,94041,2442
8600000US94043,94043,2495
8600000US94044,94044,2414
8600000US94060,94060,2170
8600000US94061,94061,2272
8600000US94062,94062,2125
8600000US94063,94063,2155
8600000US94065,94065,3396
8600000US94066,94066,2372
8600000US94070,94070,2321
8600000US94074,94074,-
8600000US94080,94080,2111
8600000US94085,94085,2570
8600000US94086,94086,2426
8600000US94087,94087,2445
8600000US94089,94089,2810
8600000US94102,94102,1146
8600000US94103,94103,1342
8600000US94104,94104,755
8600000US94105,94105,2918
8600000US94107,94107,2495
8600000US94108,94108,1196
8600000US94109,94109,1826
8600000US94110,94110,1816
8600000US94111,94111,2210
8600000US94112,94112,1777
8600000US94114,94114,2243
8600000US94115,94115,1977
8600000US94116,94116,2235
8600000US94117,94117,2270
8600000US94118,94118,2072
8600000US94121,94121,1904
8600000US94122,94122,2171
8600000US94123,94123,2506
8600000US94124,94124,1070
8600000US94127,94127,2907
8600000US94128,94128,-
8600000US94129,94129,3367
8600000US94130,94130,2106
8600000US94131,94131,2298
8600000US94132,94132,2106
8600000US94133,94133,1395
