Geo ID,Geographic Area Name,Median contract rent
8600000US92075,ZCTA5 92075,2086
8600000US92078,ZCTA5 92078,1784
8600000US92081,ZCTA5 92081,1789
8600000US92082,ZCTA5 92082,1161
8600000US92083,ZCTA5 92083,1464
8600000US92084,ZCTA5 92084,1403
8600000US92086,ZCTA5 92086,792
8600000US92091,ZCTA5 92091,2400
8600000US92101,ZCTA5 92101,1640
8600000US92102,ZCTA5 92102,1234
8600000US92103,ZCTA5 92103,1467
8600000US92104,ZCTA5 92104,1382
8600000US92105,ZCTA5 92105,1100
8600000US92106,ZCTA5 92106,1846
8600000US92107,ZCTA5 92107,1588
8600000US92108,ZCTA5 92108,2016
8600000US92109,ZCTA5 92109,1677
8600000US92110,ZCTA5 92110,1617
8600000US92111,ZCTA5 92111,1524
8600000US92113,ZCTA5 92113,1107
8600000US92114,ZCTA5 92114,1288
8600000US92115,ZCTA5 92115,1306
8600000US92116,ZCTA5 92116,1371
8600000US92117,ZCTA5 92117,1647
8600000US92118,ZCTA5 92118,2394
8600000US92119,ZCTA5 92119,1660
8600000US92120,ZCTA5 92120,1726
8600000US92121,ZCTA5 92121,1936
8600000US92122,ZCTA5 92122,1980
8600000US92123,ZCTA5 92123,1988
8600000US92124,ZCTA5 92124,2278
8600000US92126,ZCTA5 92126,1892
8600000US92127,ZCTA5 92127,1938
8600000US92128,ZCTA5 92128,1999
8600000US92129,ZCTA5 92129,1900
8600000US92130,ZCTA5 92130,2409
8600000US92131,ZCTA5 92131,2266
8600000US92132,ZCTA5 92132,-
8600000US92134,ZCTA5 92134,-
8600000US92135,ZCTA5 92135,-
8600000US92139,ZCTA5 92139,1460
8600000US92140,ZCTA5 92140,-
8600000US92145,ZCTA5 92145,1219
8600000US92147,ZCTA5 92147,-
8600000US92154,ZCTA5 92154,1541
8600000US92155,ZCTA5 92155,-
8600000US92173,ZCTA5 92173,1114
8600000US92201,ZCTA5 92201,880
8600000US92203,ZCTA5 92203,1381
8600000US92210,ZCTA5 92210,641
8600000US92211,ZCTA5 92211,1337
8600000US92220,ZCTA5 92220,860
8600000US92222,ZCTA5 92222,-
8600000US92223,ZCTA5 92223,989
8600000US92225,ZCTA5 92225,614
8600000US92227,ZCTA5 92227,649
8600000US92230,ZCTA5 92230,770
8600000US92231,ZCTA5 92231,717
8600000US92233,ZCTA5 92233,619
8600000US92234,ZCTA5 92234,1056
8600000US92236,ZCTA5 92236,727
8600000US92239,ZCTA5 92239,-
8600000US92240,ZCTA5 92240,825
8600000US92241,ZCTA5 92241,781
8600000US92242,ZCTA5 92242,503
8600000US92243,ZCTA5 92243,686
8600000US92249,ZCTA5 92249,617
8600000US92250,ZCTA5 92250,523
8600000US92251,ZCTA5 92251,1010
8600000US92252,ZCTA5 92252,792
8600000US92253,ZCTA5 92253,1337
8600000US92254,ZCTA5 92254,512
8600000US92256,ZCTA5 92256,708
8600000US92257,ZCTA5 92257,325
8600000US92258,ZCTA5 92258,491
8600000US92259,ZCTA5 92259,-
8600000US92260,ZCTA5 92260,1144
8600000US92262,ZCTA5 92262,940
8600000US92264,ZCTA5 92264,1068
8600000US92266,ZCTA5 92266,-
8600000US92267,ZCTA5 92267,-
8600000US92268,ZCTA5 92268,723
8600000US92270,ZCTA5 92270,1117
8600000US92273,ZCTA5 92273,668
8600000US92274,ZCTA5 92274,491
8600000US92275,ZCTA5 92275,816
8600000US92276,ZCTA5 92276,905
8600000US92277,ZCTA5 92277,835
8600000US92278,ZCTA5 92278,1215
8600000US92280,ZCTA5 92280,-
8600000US92281,ZCTA5 92281,574
8600000US92282,ZCTA5 92282,1161
8600000US92283,ZCTA5 92283,338
8600000US92284,ZCTA5 92284,798
8600000US92285,ZCTA5 92285,709
8600000US92301,ZCTA5 92301,918
8600000US92304,ZCTA5 92304,-
8600000US92305,ZCTA5 92305,1425
8600000US92307,ZCTA5 92307,850
8600000US92308,ZCTA5 92308,878
8600000US92309,ZCTA5 92309,536
8600000US92310,ZCTA5 92310,1303
8600000US92311,ZCTA5 92311,648
8600000US92313,ZCTA5 92313,1297
8600000US92314,ZCTA5 92314,919
8600000US92315,ZCTA5 92315,769
8600000US92316,ZCTA5 92316,1078
8600000US92320,ZCTA5 92320,1079
8600000US92321,ZCTA5 92321,1013
8600000US92322,ZCTA5 92322,-
8600000US92324,ZCTA5 92324,1037
8600000US92325,ZCTA5 92325,881
8600000US92327,ZCTA5 92327,538
8600000US92328,ZCTA5 92328,243
8600000US92332,ZCTA5 92332,-
8600000US92333,ZCTA5 92333,-
8600000US92335,ZCTA5 92335,1088
8600000US92336,ZCTA5 92336,1652
8600000US92337,ZCTA5 92337,1538
8600000US92338,ZCTA5 92338,-
8600000US92339,ZCTA5 92339,977
8600000US92341,ZCTA5 92341,-
8600000US92342,ZCTA5 92342,1274
8600000US92344,ZCTA5 92344,1371
8600000US92345,ZCTA5 92345,966
8600000US92346,ZCTA5 92346,1007
8600000US92347,ZCTA5 92347,-
8600000US92352,ZCTA5 92352,1116
8600000US92354,ZCTA5 92354,1196
8600000US92356,ZCTA5 92356,652
8600000US92358,ZCTA5 92358,1145
8600000US92359,ZCTA5 92359,920
8600000US92363,ZCTA5 92363,528
8600000US92364,ZCTA5 92364,-
8600000US92365,ZCTA5 92365,801
8600000US92368,ZCTA5 92368,769
8600000US92371,ZCTA5 92371,912
8600000US92372,ZCTA5 92372,915
8600000US92373,ZCTA5 92373,1262
8600000US92374,ZCTA5 92374,1167
8600000US92376,ZCTA5 92376,1075
8600000US92377,ZCTA5 92377,1429
8600000US92378,ZCTA5 92378,-
8600000US92382,ZCTA5 92382,925
8600000US92384,ZCTA5 92384,-
8600000US92385,ZCTA5 92385,-
8600000US92386,ZCTA5 92386,799
8600000US92389,ZCTA5 92389,-
8600000US92391,ZCTA5 92391,755
8600000US92392,ZCTA5 92392,1184
8600000US92394,ZCTA5 92394,1035
8600000US92395,ZCTA5 92395,976
8600000US92397,ZCTA5 92397,863
8600000US92398,ZCTA5 92398,655
8600000US92399,ZCTA5 92399,1043
8600000US92401,ZCTA5 92401,755
