id,Geographic Area Name,Total,Median income,Mean income
8600000US91335,ZCTA5 91335,24391,68786,88359
8600000US91340,ZCTA5 91340,8886,62787,78414
8600000US91342,ZCTA5 91342,25121,77981,91666
8600000US91343,ZCTA5 91343,18035,71538,89766
8600000US91344,ZCTA5 91344,17037,105898,127706
8600000US91345,ZCTA5 91345,5402,91338,102130
8600000US91350,ZCTA5 91350,11402,128673,139531
8600000US91351,ZCTA5 91351,10076,88133,104932
8600000US91352,ZCTA5 91352,12436,61976,78771
8600000US91354,ZCTA5 91354,10444,138536,162264
8600000US91355,ZCTA5 91355,11709,117545,134189
8600000US91356,ZCTA5 91356,11802,103182,154634
8600000US91360,ZCTA5 91360,14955,121900,142751
8600000US91361,ZCTA5 91361,8556,158030,231969
8600000US91362,ZCTA5 91362,13519,153711,191834
8600000US91364,ZCTA5 91364,10648,131076,171693
8600000US91367,ZCTA5 91367,18433,117839,150891
8600000US91371,ZCTA5 91371,0,-,-
8600000US91377,ZCTA5 91377,5303,152223,195500
8600000US91381,ZCTA5 91381,6554,162039,184331
8600000US91384,ZCTA5 91384,7091,121132,135846
8600000US91387,ZCTA5 91387,12815,106449,125977
8600000US91390,ZCTA5 91390,6000,136657,153185
8600000US91401,ZCTA5 91401,14933,62889,92807
8600000US91402,ZCTA5 91402,19839,47856,62836
8600000US91403,ZCTA5 91403,11400,142850,202942
8600000US91405,ZCTA5 91405,18246,50182,67515
8600000US91406,ZCTA5 91406,18398,65430,83592
8600000US91411,ZCTA5 91411,9493,63847,86987
8600000US91423,ZCTA5 91423,15085,128369,191848
8600000US91436,ZCTA5 91436,5600,216268,287868
8600000US91501,ZCTA5 91501,8057,79643,110533
8600000US91502,ZCTA5 91502,5071,53864,69783
8600000US91504,ZCTA5 91504,9387,98922,138492
8600000US91505,ZCTA5 91505,12902,114949,140237
8600000US91506,ZCTA5 91506,7522,110449,133902
8600000US91601,ZCTA5 91601,16710,62875,93630
8600000US91602,ZCTA5 91602,9813,114259,147577
8600000US91604,ZCTA5 91604,14641,156275,224527
8600000US91605,ZCTA5 91605,16271,56429,76212
8600000US91606,ZCTA5 91606,15401,59050,78113
8600000US91607,ZCTA5 91607,13607,85633,117069
8600000US91608,ZCTA5 91608,10,-,-
8600000US91701,ZCTA5 91701,13060,110728,127569
8600000US91702,ZCTA5 91702,15502,70367,86648
8600000US91706,ZCTA5 91706,18328,68446,79602
8600000US91708,ZCTA5 91708,727,86283,89532
8600000US91709,ZCTA5 91709,25289,112223,130892
8600000US91710,ZCTA5 91710,22758,88251,103741
8600000US91711,ZCTA5 91711,11997,128383,152763
8600000US91722,ZCTA5 91722,9841,85856,94977
8600000US91723,ZCTA5 91723,6233,73301,90148
8600000US91724,ZCTA5 91724,8094,93155,110909
8600000US91730,ZCTA5 91730,24015,76806,88665
8600000US91731,ZCTA5 91731,8263,47925,60920
8600000US91732,ZCTA5 91732,16066,53483,70034
8600000US91733,ZCTA5 91733,11026,52590,63840
8600000US91737,ZCTA5 91737,7974,113390,133984
8600000US91739,ZCTA5 91739,11663,121262,147443
8600000US91740,ZCTA5 91740,8308,91200,108430
8600000US91741,ZCTA5 91741,8896,119357,157919
8600000US91744,ZCTA5 91744,18969,72444,82110
8600000US91745,ZCTA5 91745,16324,90965,114482
8600000US91746,ZCTA5 91746,6670,73264,85297
8600000US91748,ZCTA5 91748,13558,77405,97592
8600000US91750,ZCTA5 91750,12110,106840,133167
8600000US91752,ZCTA5 91752,8794,90264,107469
8600000US91754,ZCTA5 91754,11290,73646,96843
8600000US91755,ZCTA5 91755,8665,62640,87435
8600000US91759,ZCTA5 91759,157,107188,102977
8600000US91761,ZCTA5 91761,17335,76152,86954
8600000US91762,ZCTA5 91762,17636,65930,80551
8600000US91763,ZCTA5 91763,10233,64076,74341
8600000US91764,ZCTA5 91764,16482,60873,72884
8600000US91765,ZCTA5 91765,15119,109411,131339
8600000US91766,ZCTA5 91766,17987,60042,78831
8600000US91767,ZCTA5 91767,14065,67475,79040
8600000US91768,ZCTA5 91768,8045,56301,72934
8600000US91770,ZCTA5 91770,16648,63710,78021
8600000US91773,ZCTA5 91773,11387,102634,118862
8600000US91775,ZCTA5 91775,8113,101184,127641
8600000US91776,ZCTA5 91776,11713,59842,78944
8600000US91780,ZCTA5 91780,11355,86515,103535
8600000US91784,ZCTA5 91784,9023,142907,168059
8600000US91786,ZCTA5 91786,19107,69446,83879
8600000US91789,ZCTA5 91789,13348,109495,131107
8600000US91790,ZCTA5 91790,12254,87838,102159
8600000US91791,ZCTA5 91791,10080,99980,115774
8600000US91792,ZCTA5 91792,8585,88295,98542
