,Company,TradeName,Address,ZipCode,DunsNumber,HQDuns,HQTradeName,Subsidiary,Latitude,Longitude,SIC2,SIC4,SIC8,Industry,IndustryGroup,YearStart,OutofBis,FirstYear,LastYear,Minority,WomenOwned,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14
212519,NEW ASIA RESTAURANT,NA,2324 COLORADO BLVD,90041,82692807,82692807,NA,N,34.1395,118.2175,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1976,NA,1989,1996,NA,NA,150000,0,150000,0,150000,0,150000,0,151600,3,155400,3,159300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1R2,1R2,1R2,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212554,EL REY AZTECA,EL REY AZTECA FAMILY REST,5372 WHITTIER BLVD,90022,82698499,82698499,EL REY AZTECA FAMILY REST,N,34.0197,118.1547,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1976,NA,1989,2009,Y,NA,315800,3,320000,3,330000,3,336000,3,342900,3,342900,3,352900,3,360000,3,360000,3,383000,3,384000,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,420000,3,4.00E+05,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,NA,NA,NA,NA,NA
212740,SAWTELLE TEMPURA HOUSE,NA,1816 SAWTELLE BLVD,90025,83047563,83047563,NA,N,34.0436,118.4458,58,5812,58120302,Carry-out only (except pizza) restaurant,Eating and Drinking Places,1979,NA,1989,2014,Y,Y,97500,3,1.00E+05,3,1.00E+05,3,105000,3,105000,3,1.00E+05,3,1.00E+05,3,1.00E+05,3,112500,3,112500,3,112500,3,120000,3,124000,3,124000,3,120000,3,120000,3,112500,3,127500,3,120000,3,127500,3,127500,3,120000,3,135000,3,120000,3,120000,3,ER8,ER8,ER8,ER8,ER8,ER8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
212828,KATI THAI RESTAURANTS,NA,3655 S GRAND AVE STE C4,90007,83154620,83154620,NA,N,34.0177,118.2778,58,5812,58120115,Thai restaurant,Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337500,3,346200,3,356000,3,337500,3,337500,3,337500,3,337500,3,337500,3,337500,3,337500,3,334300,3,337500,3,337500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212899,CARL KARCHER ENTERPRISES INC,NA,1611 S WESTERN AVE,90006,83223508,963433193,NA,N,34.0433,118.3091,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,NA,NA,2002,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,3,473700,3,460000,3,460000,3,450000,3,450000,3,441700,3,437500,3,440000,3,437500,3,445000,3,450000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212929,PHO LITTLE SAIGON,NA,933 WESTCHESTER PL,90019,83363817,83363817,NA,N,34.0546,118.3156,58,5812,58120116,Vietnamese restaurant,Eating and Drinking Places,NA,NA,2008,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,3,40300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA
213044,THAI THAI RESTAURANT,STAR RESTAURANT,1406 W 6TH ST,90017,83772061,83772061,STAR RESTAURANT,N,34.0552,118.2648,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1974,NA,1989,2000,NA,NA,180000,3,3.00E+05,0,3.00E+05,0,3.00E+05,0,3.00E+05,0,3.00E+05,0,3.00E+05,1,3.00E+05,1,3.00E+05,1,3.00E+05,1,3.00E+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213062,BILLS DRIVE IN,NA,1664 E FLORENCE AVE,90001,83774976,83774976,NA,N,33.9745,118.2437,58,5812,58120306,Drive-in restaurant,Eating and Drinking Places,1977,NA,1989,2014,NA,NA,91700,3,97400,3,97400,3,98600,3,1.00E+05,3,98000,3,180000,3,180000,3,187500,3,187500,3,187500,3,187500,3,216700,3,227300,3,240000,3,240000,3,230000,3,250000,3,250000,3,230800,3,250000,3,233300,3,232900,3,228100,3,250000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
213137,NEW LUCKY RESTAURANT,NA,702 N BROADWAY,90012,83820100,83820100,NA,N,34.0604,118.239,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1973,NA,1989,2009,NA,NA,315800,3,320000,3,330000,3,336000,3,342900,3,342900,3,352900,3,360000,3,360000,3,383000,3,384000,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,4.00E+05,3,420000,3,4.00E+05,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,--,NA,NA,NA,NA,NA
213165,J & E HOT DOG STAND,NA,715 S SOTO ST,90023,83826446,83826446,NA,N,34.0354,118.2152,58,5812,58120300,Fast food restaurants and stands,Eating and Drinking Places,1965,NA,1989,2004,NA,NA,50000,3,54000,3,54000,3,55000,3,64400,3,62200,3,31800,3,32000,3,60000,3,62900,3,68600,3,67000,3,71400,3,75700,3,80000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ER8,ER8,ER8,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213182,RICHARDS MICHAEL,RICHARDS MICHAEL FRENCH PASTRY,707 N STANLEY AVE,90046,83827394,83827394,RICHARDS MICHAEL FRENCH PASTRY,N,34.0839,118.3565,58,5812,58120104,French restaurant,Eating and Drinking Places,1977,NA,1989,2014,NA,NA,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1400000,0,1238773,0,1400000,0,1450000,3,1500000,0,1500000,0,1500000,0,1500000,0,1500000,0,1500000,3,1500000,3,1500000,3,1500000,3,1500000,3,1500000,3,1500000,3,870000,2,880000,2,880000,2,880000,2,CC4,CC4,--,--,--,CB2,--,--,--,--,--,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,--
213268,EL ARCO IRIS RESTAURANT,EL ARCO IRIS,5684 YORK BLVD,90042,83905471,83905471,EL ARCO IRIS,N,34.1188,118.1942,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1968,NA,1989,2014,NA,Y,56700,3,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,205000,3,210400,3,220600,3,230300,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,238200,3,350000,2,360000,2,460000,2,550000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,1R2,--,--
213447,LEAS SUPER BURGERS,NA,357 E 91ST ST,90003,84076814,84076814,NA,N,33.9538,118.2682,58,5812,58120308,"Fast-food restaurant, independent",Eating and Drinking Places,NA,NA,2002,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307700,3,293100,3,285700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA
213530,TAQUERIA ESTILO MEXICO NO 2,NA,10953 VENICE BLVD,90034,84207088,84207088,NA,N,34.0152,118.4135,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,NA,NA,2006,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155600,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,NA,NA,NA,NA,NA
213733,NATURAL FUDGE CO,NA,5224 FOUNTAIN AVE,90029,84338144,84338144,NA,N,34.0949,118.3033,58,5812,58129909,Health food restaurant,Eating and Drinking Places,1973,NA,1989,2000,NA,Y,180000,0,180000,0,180000,0,180000,0,180000,0,180000,0,180000,0,177500,3,178700,3,171100,3,174300,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG3,GG3,GG3,GG3,GG3,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214024,PEKING PANDA RESTAURANT,NA,627 S FAIRFAX AVE,90036,84696368,84696368,NA,N,34.0704,118.3492,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1974,NA,1989,1994,NA,NA,259100,3,270000,3,270000,3,270000,3,277500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214048,ELDERS SNACK BAR,NA,1230 VALENCIA ST,90015,84702067,84702067,NA,N,34.0444,118.2746,58,5812,58120101,American restaurant,Eating and Drinking Places,1962,NA,1989,1990,NA,NA,59546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214189,FUSS GINA,MCDONALDS,3501 S LA CIENEGA BLVD,90016,84812135,84812135,MCDONALDS,N,34.0233,118.3557,58,5812,58120307,"Fast-food restaurant, chain",Eating and Drinking Places,2001,NA,2001,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290000,3,1290000,3,1357900,3,1318700,3,1318700,3,1290000,3,1290000,3,1266100,3,1254200,3,1261300,3,1254200,3,1275700,3,1290000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS
214191,MDA SOLUTION INC,NA,700 S FLOWER ST STE 30,90017,84813836,84813836,NA,N,34.0484,118.2587,58,5812,58120300,Fast food restaurants and stands,Eating and Drinking Places,NA,NA,2002,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37800,3,40000,3,37500,3,37500,3,40000,3,37500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,DS,DS,NA,NA,NA,NA,NA,NA
214363,LA FAMILIA RESTAURANT,NA,4532 S CENTINELA AVE,90066,84989198,84989198,NA,N,33.9923,118.4223,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1998,NA,1998,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,3,150000,3,156300,3,166700,3,168800,3,175000,3,180000,3,187500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA
214454,BAMBOO WORLD,NA,831 S GRAND VIEW ST,90057,85071467,85071467,NA,N,34.0553,118.2804,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,NA,NA,2006,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,3,133500,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA,NA,NA
214649,CAMILLES INC,DENNYS,530 RAMIREZ ST,90012,85387264,85387264,DENNYS,N,34.0546,118.2317,58,5812,58120501,"Restaurant, family: chain",Eating and Drinking Places,1965,NA,1989,2014,NA,NA,2815500,3,3.00E+06,0,3.00E+06,0,3.00E+06,0,1.00E+06,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,990000,3,990000,3,990000,3,960000,3,960000,3,960000,3,960000,3,960000,3,960000,3,1240000,3,1493333,3,1493333,3,1493333,3,--,--,--,--,--,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R3
214683,LABARCA RESTAURANT,NA,2414 S VERMONT AVE,90007,85397677,85397677,NA,N,34.0339,118.2913,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1976,NA,1989,2014,NA,NA,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,211800,3,216600,3,219000,3,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,2.00E+05,0,250000,2,250000,2,--,--,--,--,--,--,--,--,2R2,2R2,--,NA,NA,NA,2R2,--,2R2,2R2,2R2,2R3,2R3,--,--,--
214685,CENTURY FOOD SERVICES INC,SIDNEYS,2049 CENTURY PARK E,90067,85397875,85397875,SIDNEYS,N,34.0553,118.4182,58,5812,58120101,American restaurant,Eating and Drinking Places,1975,NA,1989,1997,NA,NA,1425000,0,1400000,0,1400000,0,1400000,0,1400000,0,1380000,3,1.00E+06,0,1.00E+06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214694,JUNG KWANG JIN,HOBAN RESTAURANT,1040 S WESTERN AVE,90006,85398519,85398519,HOBAN RESTAURANT,N,34.0515,118.3088,58,5812,58120103,Chinese restaurant,Eating and Drinking Places,1973,2003,1989,2003,NA,NA,143900,3,150000,3,150000,3,150000,3,154200,3,156300,3,164300,3,166700,3,178600,3,178600,3,182000,3,183300,3,187500,3,2.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214905,TRIMANA OF WILSHIRE CENTER,NA,10920 WILSHIRE BLVD,90024,85642200,85642200,NA,N,34.0584,118.4444,58,5812,58120101,American restaurant,Eating and Drinking Places,NA,NA,2005,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290000,3,311100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,NA,NA,NA,NA,NA,NA,NA
215020,LA ISLA DEL MAMBO,NA,7174 MELROSE AVE,90046,85882186,85882186,NA,N,34.0833,118.3457,58,5812,58120100,Ethnic food restaurants,Eating and Drinking Places,1999,NA,1999,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112500,3,131300,3,135000,3,130000,3,125000,3,120000,3,120000,3,116700,3,123200,3,129800,3,124000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,NA,NA,NA,NA
215106,JIMS BURGERS,NA,3040 BEVERLY BLVD,90057,85929354,85929354,NA,N,34.0714,118.2817,58,5812,58120306,Drive-in restaurant,Eating and Drinking Places,1972,NA,1989,2014,NA,NA,150000,0,150000,0,150000,0,150000,0,150000,0,120000,0,120000,0,120000,0,120000,0,120000,0,120000,0,120000,0,120000,0,120000,3,121500,3,120000,3,120000,3,120000,3,120000,3,120000,3,133200,3,70000,2,70000,2,70000,2,71000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
215253,JUBEI JAPANESE CUISINE INC,NA,420 E 3RD ST STE 1000,90013,86395527,86395527,NA,N,34.0469,118.2419,58,5812,58120109,Japanese restaurant,Eating and Drinking Places,NA,NA,2005,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,3,480000,3,480000,3,480000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,DS,NA,NA,NA,NA,NA
215258,HISTORIC ITALIAN HALL FNDTN,NA,650 N MAIN ST,90012,86419665,86419665,NA,N,34.0577,118.2382,58,5812,58120108,Italian restaurant,Eating and Drinking Places,NA,NA,2005,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E+05,3,4.00E+05,3,4.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS,DS,DS,NA,NA,NA,NA,NA,NA
215292,HARPERS RESTAURANT INC,HARPERS ITALIAN RESTAURANT,10250 SANTA MONICA BLVD,90067,86501863,86501863,HARPERS ITALIAN RESTAURANT,N,34.06,118.4197,58,5812,58120101,American restaurant,Eating and Drinking Places,1976,NA,1989,2009,NA,NA,2.00E+06,0,2.00E+06,0,2.00E+06,0,2.00E+06,0,2200000,3,1500000,0,1500000,0,1500000,0,1500000,0,2.00E+06,0,2.00E+06,0,2.00E+06,0,2.00E+06,0,2.00E+06,0,2.00E+06,3,2.00E+06,3,2.00E+06,3,3142900,3,3142900,3,3142900,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,1R2,1R2,1R2,--,1R2,NA,--,NA,NA,NA,NA,NA
215335,FANARA ANTHONY,PALERMO ITALIAN RESTAURANT,1858 N VERMONT AVE,90027,86516804,86516804,PALERMO ITALIAN RESTAURANT,N,34.1047,118.2916,58,5812,58120108,Italian restaurant,Eating and Drinking Places,1972,NA,1989,2014,NA,NA,437700,3,462900,3,462900,3,462900,3,466400,3,478100,3,490700,3,514400,3,537000,3,1.00E+06,3,1.00E+06,3,1.00E+06,0,789474,3,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1.00E+06,0,1400000,2,1400000,2,--,--,--,--,--,--,--,--,--,--,--,--,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2,1R2
215350,EL COMPADRE INC,EL COMPADRE,7408 W SUNSET BLVD,90046,86520467,86520467,EL COMPADRE,N,34.0978,118.352,58,5812,58120112,Mexican restaurant,Eating and Drinking Places,1976,NA,1989,2014,NA,NA,340900,3,355300,3,360000,3,364900,3,375000,3,375000,3,375000,3,376100,3,4.00E+05,3,420000,3,424400,3,423900,3,428600,3,437500,3,450000,3,450000,3,450000,3,441200,3,439800,3,441200,3,450000,3,450000,3,450000,3,450000,3,450000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1R3,1R3,1R2,1R2,--,1R4,1R3,1R4,1R3
215560,DON FELIX RESTAURANT,NA,4435 FOUNTAIN AVE,90029,87168386,87168386,NA,N,34.0958,118.286,58,5812,58120502,"Restaurant, family: independent",Eating and Drinking Places,1989,NA,1989,2014,NA,NA,452900,3,472700,3,473300,3,476200,3,480000,3,496700,3,5.00E+05,3,5.00E+05,3,524100,3,533300,3,533300,3,533300,3,550000,3,558800,3,562500,3,571400,3,571400,3,571400,3,571400,3,571400,3,577800,3,577800,3,571400,3,566700,3,571400,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--
215586,KOSHER NOSTRA,NA,363 S FAIRFAX AVE,90036,87177812,87177812,NA,N,34.0704,118.3615,58,5812,58120600,Pizza restaurants,Eating and Drinking Places,1977,NA,1989,1990,NA,NA,120000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215595,HOLLYWOOD FIXTURES,NA,1912 N EDGEMONT ST,90027,87178708,87178708,NA,N,34.1057,118.296,15,1542,15420104,Restaurant construction,Nonresidential Building Construction,1986,NA,1989,2014,NA,NA,666700,3,666700,3,666700,3,666700,3,666700,3,666700,3,7.00E+05,3,806800,3,975900,3,1.00E+06,3,1.00E+06,3,1.00E+06,3,8.00E+05,3,8.00E+05,3,8.00E+05,3,740000,3,7.00E+05,3,680000,3,666700,3,666700,3,666700,3,620000,3,6.00E+05,3,6.00E+05,3,6.00E+05,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,2R3,2R2,2R2,2R2,2R3,2R3,2R2,2R2,2R2,2R2,2R2
215607,PIT BAR B QUE,NA,5309 S VERMONT AVE,90037,87179958,87179958,NA,N,33.9939,118.2916,58,5812,58120801,Barbecue restaurant,Eating and Drinking Places,1958,NA,1989,2013,NA,Y,270000,3,275000,3,270000,3,293500,3,3.00E+05,3,3.00E+05,3,321400,3,337500,3,3.00E+05,3,337500,3,365600,3,360000,3,337500,3,360000,3,375000,3,360000,3,337500,3,80000,3,80000,3,80000,3,77300,3,85700,3,82500,3,86700,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,2R3,2R3,--,--,--,--,--,NA
