GEO_ID,NAME,B12001_001E,B12001_002E,B12001_003E,B12001_004E,B12001_005E,B12001_006E,B12001_007E,B12001_008E,B12001_009E,B12001_010E,B12001_011E,B12001_012E,B12001_013E,B12001_014E,B12001_015E,B12001_016E,B12001_017E,B12001_018E,B12001_019E
id,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Male:,Estimate!!Total:!!Male:!!Never married,Estimate!!Total:!!Male:!!Now married:,"Estimate!!Total:!!Male:!!Now married:!!Married, spouse present","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Male:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Male:!!Widowed,Estimate!!Total:!!Male:!!Divorced,Estimate!!Total:!!Female:,Estimate!!Total:!!Female:!!Never married,Estimate!!Total:!!Female:!!Now married:,"Estimate!!Total:!!Female:!!Now married:!!Married, spouse present","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Separated","Estimate!!Total:!!Female:!!Now married:!!Married, spouse absent:!!Other",Estimate!!Total:!!Female:!!Widowed,Estimate!!Total:!!Female:!!Divorced
8600000US92025,ZCTA5 92025,41111,21025,9069,9843,8313,1530,411,1119,509,1604,20086,6804,9513,8090,1423,597,826,1589,2180
8600000US92026,ZCTA5 92026,40802,20239,7830,10360,9272,1088,179,909,373,1676,20563,5873,10301,9261,1040,299,741,1762,2627
8600000US92027,ZCTA5 92027,45180,23342,8901,11684,10041,1643,626,1017,545,2212,21838,7078,10878,9567,1311,475,836,1529,2353
8600000US92028,ZCTA5 92028,39435,19373,5439,11674,10611,1063,273,790,629,1631,20062,5231,11381,10303,1078,282,796,1435,2015
8600000US92029,ZCTA5 92029,16290,7951,2089,5027,4602,425,167,258,310,525,8339,1808,4914,4592,322,123,199,616,1001
8600000US92036,ZCTA5 92036,2244,1337,395,781,646,135,25,110,24,137,907,62,641,639,2,0,2,54,150
8600000US92037,ZCTA5 92037,32551,15813,5414,8955,8524,431,65,366,337,1107,16738,4176,9249,8521,728,173,555,1266,2047
8600000US92040,ZCTA5 92040,37947,19344,6742,10271,9246,1025,260,765,583,1748,18603,4066,10442,9310,1132,356,776,1753,2342
8600000US92054,ZCTA5 92054,33767,16771,6919,7615,6909,706,225,481,353,1884,16996,5261,7744,6651,1093,504,589,1152,2839
8600000US92055,ZCTA5 92055,11503,10542,9454,1024,205,819,19,800,0,64,961,589,362,202,160,0,160,0,10
8600000US92056,ZCTA5 92056,43745,21227,7006,11554,10754,800,131,669,475,2192,22518,5353,11739,10548,1191,328,863,2226,3200
8600000US92057,ZCTA5 92057,49595,24253,8480,13175,12061,1114,347,767,695,1903,25342,6752,13226,11652,1574,573,1001,2109,3255
8600000US92058,ZCTA5 92058,33289,18033,6196,10449,9627,822,188,634,201,1187,15256,3271,10120,9148,972,181,791,721,1144
8600000US92059,ZCTA5 92059,1107,508,151,310,277,33,8,25,19,28,599,232,292,249,43,30,13,51,24
8600000US92060,ZCTA5 92060,166,137,60,9,9,0,0,0,0,68,29,20,9,9,0,0,0,0,0
8600000US92061,ZCTA5 92061,1862,982,230,648,574,74,8,66,6,98,880,195,503,494,9,5,4,105,77
8600000US92064,ZCTA5 92064,39852,19396,5931,11722,10840,882,318,564,459,1284,20456,4591,11703,10746,957,188,769,1734,2428
8600000US92065,ZCTA5 92065,30548,15735,5368,8795,7929,866,244,622,286,1286,14813,3550,8493,7802,691,148,543,969,1801
8600000US92066,ZCTA5 92066,546,271,49,184,184,0,0,0,33,5,275,76,174,174,0,0,0,19,6
8600000US92067,ZCTA5 92067,6648,3218,895,2137,2059,78,0,78,48,138,3430,742,2193,2101,92,52,40,285,210
8600000US92069,ZCTA5 92069,39415,19277,6910,10112,9014,1098,388,710,635,1620,20138,6788,9648,8609,1039,301,738,1314,2388
8600000US92070,ZCTA5 92070,659,341,88,177,140,37,3,34,23,53,318,54,159,141,18,1,17,57,48
8600000US92071,ZCTA5 92071,47116,21949,7450,11881,10936,945,229,716,724,1894,25167,7214,12134,10915,1219,425,794,1972,3847
8600000US92075,ZCTA5 92075,10821,4923,1539,2695,2525,170,27,143,99,590,5898,1784,2725,2502,223,10,213,535,854
8600000US92078,ZCTA5 92078,39817,19406,6433,11011,10191,820,138,682,380,1582,20411,4741,10877,9872,1005,443,562,2100,2693
8600000US92081,ZCTA5 92081,24433,12440,4347,6338,5808,530,179,351,241,1514,11993,3295,6290,5603,687,199,488,1015,1393
8600000US92082,ZCTA5 92082,15488,7727,2537,4551,4037,514,134,380,155,484,7761,2262,4387,3922,465,128,337,461,651
8600000US92083,ZCTA5 92083,30490,15672,6398,7663,6527,1136,155,981,231,1380,14818,4953,7321,6136,1185,359,826,572,1972
8600000US92084,ZCTA5 92084,40722,20247,7821,10160,9021,1139,266,873,377,1889,20475,6649,10066,8731,1335,486,849,1537,2223
8600000US92086,ZCTA5 92086,1441,726,204,362,324,38,21,17,29,131,715,140,354,307,47,10,37,84,137
8600000US92091,ZCTA5 92091,1200,549,122,315,310,5,0,5,15,97,651,163,228,223,5,0,5,108,152
8600000US92101,ZCTA5 92101,39376,22042,11569,6957,5317,1640,456,1184,458,3058,17334,7574,5724,5149,575,240,335,1452,2584
8600000US92102,ZCTA5 92102,35102,18013,8605,7340,5994,1346,618,728,427,1641,17089,7182,6793,5377,1416,632,784,1195,1919
8600000US92103,ZCTA5 92103,31762,15449,7400,5990,5643,347,87,260,358,1701,16313,6813,5705,5124,581,243,338,1246,2549
8600000US92104,ZCTA5 92104,39490,19604,10809,6939,6323,616,283,333,95,1761,19886,8983,6917,6105,812,353,459,947,3039
8600000US92105,ZCTA5 92105,58180,29115,14615,11854,10005,1849,615,1234,459,2187,29065,11859,11637,9466,2171,956,1215,2115,3454
8600000US92106,ZCTA5 92106,16590,8446,2837,4492,3995,497,84,413,238,879,8144,2363,4341,4019,322,47,275,522,918
8600000US92107,ZCTA5 92107,27695,14084,7432,4980,4362,618,179,439,83,1589,13611,6218,4835,4396,439,151,288,583,1975
